site_id,COMID,status,comments
BRANA-12160000,62054100,MATCHED,
BRANA-12420000,62070024,MATCHED,
BRANA-14380000,62011372,MATCHED,
BRANA-14489000,62000288,MATCHED,
BRANA-14526500,,MATCHED,
BRANA-15040000,62048834,MATCHED,
BRANA-15562000,62104703,MATCHED,
BRANA-15660000,62087344,MATCHED,
BRANA-18295000,,MATCHED,
BRANA-19985000,62039953,MATCHED,
BRANA-20017000,62141984,MATCHED,
BRANA-21580000,62130637,MATCHED,
BRANA-24950000,62139427,MATCHED,
BRANA-25100000,62142191,MATCHED,
BRANA-25120000,62142223,MATCHED,
BRANA-26710000,62114014,MATCHED,
BRANA-26711000,62113997,MATCHED,
BRANA-26713000,62099583,MATCHED,
BRANA-30070000,61041619,MATCHED,
BRANA-31600000,62032635,MATCHED,
BRANA-33212000,63008416,MATCHED,
BRANA-35223000,63004426,MATCHED,
BRANA-35640000,63004818,MATCHED,
BRANA-35740000,63004620,MATCHED,
BRANA-35871000,63004550,MATCHED,
BRANA-36615000,63007976,MATCHED,
BRANA-36630000,,MATCHED,
BRANA-37210500,,MATCHED,
BRANA-38650000,63011755,MATCHED,
BRANA-38750000,63011910,MATCHED,
BRANA-39082800,63018380,MATCHED,
BRANA-39190800,,MATCHED,
BRANA-39431000,63016299,MATCHED,
BRANA-39450000,63015891,MATCHED,
BRANA-39571000,63022202,MATCHED,
BRANA-39650000,63019478,MATCHED,
BRANA-39800000,63020047,MATCHED,
BRANA-39880000,63020155,MATCHED,
BRANA-39950000,63019815,MATCHED,
BRANA-40040000,63043193,MATCHED,
BRANA-40730000,63043897,MATCHED,
BRANA-41151000,63043148,MATCHED,
BRANA-41440005,63041335,MATCHED,
BRANA-41600000,63040766,MATCHED,
BRANA-42250000,63038797,MATCHED,
BRANA-42440000,63036351,MATCHED,
BRANA-42454000,63034380,MATCHED,
BRANA-42840000,63039720,MATCHED,
BRANA-43300000,63033040,MATCHED,
BRANA-44630500,63032988,MATCHED,
BRANA-44770000,63033936,MATCHED,
BRANA-44890000,63033644,MATCHED,
BRANA-45131000,63030544,MATCHED,
BRANA-45710000,63028620,MATCHED,
BRANA-45740001,63028584,MATCHED,
BRANA-46520000,63025981,MATCHED,
BRANA-46781000,,MATCHED,
BRANA-48430000,63015088,MATCHED,
BRANA-50043000,63023642,MATCHED,
BRANA-50230000,63025827,MATCHED,
BRANA-50740000,63026246,MATCHED,
BRANA-51140000,63028389,MATCHED,
BRANA-51940000,63028524,MATCHED,
BRANA-54430000,63039021,MATCHED,
BRANA-56085000,63043011,MATCHED,
BRANA-57040008,63042678,MATCHED,
BRANA-57300000,63043016,MATCHED,
BRANA-57320000,63043508,MATCHED,
BRANA-57420000,63043025,MATCHED,
BRANA-57476500,63043019,MATCHED,
BRANA-57650000,63042913,MATCHED,
BRANA-57700000,63042981,MATCHED,
BRANA-57770000,63043123,MATCHED,
BRANA-57880000,63042939,MATCHED,
BRANA-58258000,63044392,MATCHED,
BRANA-58287000,63045098,MATCHED,
BRANA-58434000,63044365,MATCHED,
BRANA-58470000,63044328,MATCHED,
BRANA-58525000,63044537,MATCHED,
BRANA-58560000,63044405,MATCHED,
BRANA-58788050,63044135,MATCHED,
BRANA-58805000,,MATCHED,
BRANA-58825000,63044522,MATCHED,
BRANA-58826000,63044394,MATCHED,
BRANA-58910000,63043386,MATCHED,
BRANA-59100000,63044274,MATCHED,
BRANA-59135000,63044501,MATCHED,
BRANA-59355000,63045456,MATCHED,
BRANA-60018740,64003530,MATCHED,
BRANA-60100000,64008348,MATCHED,
BRANA-60145000,64008258,MATCHED,
BRANA-60181000,,MATCHED,
BRANA-60265000,64012474,MATCHED,
BRANA-60495000,64003192,MATCHED,
BRANA-60653000,64005191,MATCHED,
BRANA-60811000,64007914,MATCHED,
BRANA-61014000,64029024,MATCHED,
BRANA-61024000,64019041,MATCHED,
BRANA-61031000,64019073,MATCHED,
BRANA-61122000,64020553,MATCHED,
BRANA-61250000,64031524,MATCHED,
