site_id,COMID,status,comments
KRWAMIS-1001603,,MATCHED,nan
KRWAMIS-1001620,42066437,MATCHED,Auto-match area diff: 2.4%
KRWAMIS-1001622,42066620,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-1001625,42066493,MATCHED,Auto-match area diff: -0.2%
KRWAMIS-1001626,42066432,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-1001629,42066429,MATCHED,Auto-match area diff: -0.9%
KRWAMIS-1001630,42066488,MATCHED,Auto-match area diff: -0.2%
KRWAMIS-1001645,42066618,MATCHED,Auto-match area diff: 1.4%
KRWAMIS-1001655,42066425,MATCHED,Auto-match area diff: 1.5%
KRWAMIS-1001660,42067178,MATCHED,nan
KRWAMIS-1001690,42066416,MATCHED,Auto-match area diff: 0.0%
KRWAMIS-1002615,42065781,MATCHED,Auto-match area diff: 2.3%
KRWAMIS-1002625,42066496,MATCHED,Auto-match area diff: 2.0%
KRWAMIS-1002635,42066499,MATCHED,Auto-match area diff: 1.8%
KRWAMIS-1002640,42066484,MATCHED,Auto-match area diff: 1.4%
KRWAMIS-1002650,42066482,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1002655,42066480,MATCHED,Auto-match area diff: 5.8%
KRWAMIS-1002675,42066483,MATCHED,nan
KRWAMIS-1002685,42066476,MATCHED,Auto-match area diff: 5.8%
KRWAMIS-1002687,42066475,MATCHED,Auto-match area diff: 1.1%
KRWAMIS-1002698,42066469,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-1003620,42066590,MATCHED,Auto-match area diff: 2.5%
KRWAMIS-1003645,42066727,MATCHED,Auto-match area diff: 5.5%
KRWAMIS-1003658,42067180,MATCHED,nan
KRWAMIS-1003660,42066689,MATCHED,Auto-match area diff: 5.4%
KRWAMIS-1003657,42067159,MATCHED,nan
KRWAMIS-1003661,42066676,MATCHED,nan
KRWAMIS-1004646,42066688,MATCHED,Auto-match area diff: 5.6%
KRWAMIS-1004685,42066530,MATCHED,nan
KRWAMIS-1004690,42066526,MATCHED,Auto-match area diff: 3.1%
KRWAMIS-1004693,42066533,MATCHED,Auto-match area diff: -0.2%
KRWAMIS-1004695,42067125,MATCHED,Auto-match area diff: 2.4%
KRWAMIS-1005640,42066377,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-1005695,42067182,MATCHED,Auto-match area diff: 5.9%
KRWAMIS-1005697,42066369,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1006610,42065737,MATCHED,nan
KRWAMIS-1006630,42065719,MATCHED,Auto-match area diff: 0.8%
KRWAMIS-1006650,42066494,MATCHED,Auto-match area diff: 2.4%
KRWAMIS-1006660,42066450,MATCHED,Auto-match area diff: 1.7%
KRWAMIS-1006665,42067207,MATCHED,nan
KRWAMIS-1006672,42066443,MATCHED,Auto-match area diff: 2.2%
KRWAMIS-1006680,42066441,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-1006690,42066440,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-1007604,42067170,MATCHED,Auto-match area diff: 4.1%
KRWAMIS-1007605,42066609,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-1007610,42067117,MATCHED,Auto-match area diff: 3.3%
KRWAMIS-1007615,42066595,MATCHED,Auto-match area diff: -8.1%
KRWAMIS-1007617,42066584,MATCHED,Auto-match area diff: 1.1%
KRWAMIS-1007625,42066367,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1007640,42066720,MATCHED,Auto-match area diff: 2.9%
KRWAMIS-1007642,42067197,MATCHED,nan
KRWAMIS-1007645,42066712,MATCHED,Auto-match area diff: 6.9%
KRWAMIS-1007650,42066668,MATCHED,Auto-match area diff: 6.5%
KRWAMIS-1007655,42067237,MATCHED,nan
KRWAMIS-1007662,42066358,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-1007680,42066462,MATCHED,Auto-match area diff: 2.7%
KRWAMIS-1007685,42065395,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-1007690,42065734,MATCHED,Auto-match area diff: 3.7%
KRWAMIS-1010640,42065704,MATCHED,nan
KRWAMIS-1010660,42065485,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-1010670,42065493,MATCHED,nan
KRWAMIS-1010690,42065479,MATCHED,Auto-match area diff: -0.9%
KRWAMIS-1011620,42065631,MATCHED,Auto-match area diff: 1.8%
KRWAMIS-1011650,42065665,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1011690,42065573,MATCHED,Auto-match area diff: 9.1%
KRWAMIS-1011693,,MATCHED,nan
KRWAMIS-1011695,42065570,MATCHED,Auto-match area diff: 0.4%
KRWAMIS-1012630,42065650,MATCHED,Auto-match area diff: 3.2%
KRWAMIS-1012635,42065685,MATCHED,Auto-match area diff: 6.5%
KRWAMIS-1012640,42065690,MATCHED,Auto-match area diff: -0.4%
KRWAMIS-1012645,42065588,MATCHED,Auto-match area diff: 2.7%
KRWAMIS-1012650,42065564,MATCHED,Auto-match area diff: 4.1%
KRWAMIS-1013610,42065938,MATCHED,nan
KRWAMIS-1013645,42065476,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-1013655,42065636,MATCHED,Auto-match area diff: 0.5%
KRWAMIS-1014620,42065751,MATCHED,Auto-match area diff: 9.4%
KRWAMIS-1014630,42065592,MATCHED,Auto-match area diff: 0.6%
KRWAMIS-1014640,42065572,MATCHED,Auto-match area diff: 3.2%
KRWAMIS-1014650,42065567,MATCHED,Auto-match area diff: 3.2%
KRWAMIS-1014665,42065543,MATCHED,Auto-match area diff: -0.9%
KRWAMIS-1014680,42065524,MATCHED,Auto-match area diff: 2.8%
KRWAMIS-1014696,42065810,MATCHED,Auto-match area diff: 0.6%
KRWAMIS-1015620,42065753,MATCHED,nan
KRWAMIS-1015640,42065472,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-1015644,42065637,MATCHED,Auto-match area diff: 0.8%
KRWAMIS-1015645,42065471,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-1016607,42067189,MATCHED,Auto-match area diff: 1.3%
KRWAMIS-1016650,42066667,MATCHED,Auto-match area diff: 9.7%
KRWAMIS-1016660,42066742,MATCHED,Auto-match area diff: 2.5%
KRWAMIS-1016670,42066639,MATCHED,Auto-match area diff: 3.4%
KRWAMIS-1018620,42065917,MATCHED,nan
KRWAMIS-1018623,42065888,MATCHED,Auto-match area diff: 2.4%
KRWAMIS-1018625,42065758,MATCHED,nan
KRWAMIS-1018630,42065692,MATCHED,Auto-match area diff: 0.7%
KRWAMIS-1018635,42065871,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1018638,42065686,MATCHED,Auto-match area diff: 4.2%
KRWAMIS-1018640,42065372,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1018658,42065452,MATCHED,Auto-match area diff: -2.7%
KRWAMIS-1018662,42065370,MATCHED,Auto-match area diff: -0.0%
KRWAMIS-1018670,42065858,MATCHED,nan
KRWAMIS-1018675,42065691,MATCHED,nan
KRWAMIS-1018680,42065369,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1018683,42065368,MATCHED,Auto-match area diff: 0.1%
KRWAMIS-1018695,42067253,MATCHED,nan
KRWAMIS-1018697,42065451,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1018698,42065453,MATCHED,nan
KRWAMIS-1019630,42065365,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1019667,42065891,MATCHED,nan
KRWAMIS-1021650,42065419,MATCHED,Auto-match area diff: 0.2%
KRWAMIS-1021680,42065418,MATCHED,Auto-match area diff: 0.7%
KRWAMIS-1022626,42065663,MATCHED,nan
KRWAMIS-1022630,42065604,MATCHED,Auto-match area diff: -1.0%
KRWAMIS-1022635,42065578,MATCHED,Auto-match area diff: -1.2%
KRWAMIS-1022640,42065552,MATCHED,Auto-match area diff: -0.8%
KRWAMIS-1022643,42065531,MATCHED,nan
KRWAMIS-1022647,42065934,MATCHED,nan
KRWAMIS-1022648,42065702,MATCHED,nan
KRWAMIS-1022650,42065664,MATCHED,Auto-match area diff: 0.6%
KRWAMIS-1022655,42065651,MATCHED,Auto-match area diff: 3.8%
KRWAMIS-1022662,42065683,MATCHED,Auto-match area diff: 9.0%
KRWAMIS-1022664,42065518,MATCHED,nan
KRWAMIS-1022668,42065723,MATCHED,nan
KRWAMIS-1022670,42065634,MATCHED,Auto-match area diff: 3.7%
KRWAMIS-1022680,42065508,MATCHED,Auto-match area diff: 0.3%
KRWAMIS-1023660,42065416,MATCHED,Auto-match area diff: -0.1%
KRWAMIS-1023670,42065412,MATCHED,Auto-match area diff: 0.2%
