site_id,COMID,comments
ABOM-8348010,56002477,
ABOM-3637010,56164948,
ABOM-1293010,56165507,
ABOM-1389010,56165670,
ABOM-1708010,56167939,
ABOM-1843010,56164851,
ABOM-2391010,56164621,
ABOM-1094010,56164670,
ABOM-1511010,56165549,
ABOM-1573010,56167890,
ABOM-1798010,56164633,
ABOM-2436010,56165100,
ABOM-1032010,56165034,
ABOM-1144010,56165240,
ABOM-1624010,56165334,
ABOM-5499010,56064062,
ABOM-2145010,56165000,
ABOM-2054010,56167890,
ABOM-2214010,56164966,
ABOM-4042010,56164667,
ABOM-1926010,56165549,
ABOM-2099010,56164851,
ABOM-7840010,56002351,
ABOM-10356010,56003833,
ABOM-8238010,56003377,
ABOM-8238010,56003377,
ABOM-11813010,56003273,
ABOM-9026010,56002901,
ABOM-11537010,56002324,
ABOM-9708010,56000928,
ABOM-9770010,56000928,
ABOM-9121010,56003144,
ABOM-11475010,56008514,
ABOM-7455010,56002801,
ABOM-7962010,56002361,
ABOM-7900010,56002354,
ABOM-8795010,56003485,
ABOM-8964010,56002502,
ABOM-11686010,56002328,
ABOM-6946010,56008760,
ABOM-10418010,56000292,
ABOM-10814010,56003300,
ABOM-12049010,56007698,
ABOM-7641010,56008601,
ABOM-9325010,56002805,
ABOM-9388010,56002781,
ABOM-7095010,56007562,
ABOM-11624010,56002937,
ABOM-5651010,56062926,
ABOM-8626010,56003596,
ABOM-8849010,56003583,
ABOM-9556010,56000297,
ABOM-5561010,56063999,
ABOM-7517010,56002351,
ABOM-8564010,56002373,
ABOM-9449010,56003205,
ABOM-11748010,56002247,
ABOM-15635010,56003608,
ABOM-17483010,56011928,
ABOM-16925010,56010689,
ABOM-15884010,56010227,
ABOM-16340010,56010551,
ABOM-15822010,56009239,
ABOM-16862010,56021032,
ABOM-15984010,56002217,
ABOM-16682010,56007761,
ABOM-15715010,56009596,
ABOM-15777010,56008753,
ABOM-35964010,56105957,
ABOM-38606010,56101474,
ABOM-39801010,56081589,
ABOM-40223010,56104856,
ABOM-34808010,56087527,
ABOM-35525010,56106218,
ABOM-36090010,56114994,
ABOM-36585010,56114970,
ABOM-36758010,56109409,
ABOM-37913010,NONE,
ABOM-38696010,56101481,
ABOM-38921010,56105419,
ABOM-35273010,56114386,
ABOM-36819010,NO_CANDIDATES,
ABOM-39163010,56107085,
ABOM-40097010,56107093,
ABOM-40419010,56104641,
ABOM-34700010,56109647,
ABOM-34745010,56092445,
ABOM-35820010,56106583,
ABOM-36693010,56101834,
ABOM-37044010,56107312,
ABOM-37456010,56107809,
ABOM-37644010,56105023,
ABOM-38840010,56081587,
ABOM-34637010,56092315,
ABOM-35112010,56109466,
ABOM-35192010,56105325,
ABOM-35381010,56104714,
ABOM-36954010,NONE,
ABOM-37089010,56103524,
ABOM-38086010,56101453,
ABOM-35641010,56108720,
ABOM-36459010,56114906,
ABOM-36909010,NONE,
ABOM-41187010,56016854,
ABOM-44319010,56000156,
ABOM-42921010,56017603,
ABOM-44381010,56000694,
ABOM-43281010,56007490,
ABOM-44097010,56003206,
ABOM-41616010,56029119,
ABOM-41697010,56033309,
ABOM-40866010,56101534,
ABOM-41001010,56101529,
ABOM-41124010,56023677,
ABOM-42502010,56017059,
ABOM-42769010,56019755,
ABOM-43344010,56007507,
ABOM-10046010,56001483,
ABOM-7686010,56002819,
ABOM-14838010,56043589,
ABOM-15178010,56045395,
ABOM-8502010,56003425,
ABOM-8300010,56002383,
ABOM-15269010,56081882,
ABOM-17818010,56020016,
ABOM-44589010,56020134,
ABOM-15358010,56064277,
ABOM-18556010,56022502,
ABOM-17582010,56020992,
ABOM-18887010,NONE,
ABOM-19083010,56018093,
ABOM-12109010,56007715,
ABOM-15448010,56081960,
ABOM-18117010,56018722,
ABOM-18827010,56021670,
ABOM-15403010,56102419,
ABOM-14973010,56102228,
ABOM-17875010,56027751,
ABOM-22150010,56033305,
ABOM-19807010,56033708,
ABOM-23370010,56046274,
ABOM-23451010,56050005,
ABOM-23773010,56062144,
ABOM-20925010,56032455,
ABOM-22626010,56036266,
ABOM-23020010,56049237,
