site_id,COMID,status,comments
ABOM-8348010,56002477,MATCHED,nan
ABOM-3637010,56164948,MATCHED,nan
ABOM-1293010,56165507,MATCHED,nan
ABOM-1389010,56165670,MATCHED,nan
ABOM-1708010,56167939,MATCHED,nan
ABOM-2391010,56164621,MATCHED,nan
ABOM-1094010,56164670,MATCHED,nan
ABOM-1798010,56164633,MATCHED,nan
ABOM-2436010,56165100,MATCHED,nan
ABOM-1032010,56165034,MATCHED,nan
ABOM-1144010,56165240,MATCHED,nan
ABOM-1624010,56165334,MATCHED,nan
ABOM-5499010,56064062,MATCHED,nan
ABOM-2145010,56165000,MATCHED,nan
ABOM-2214010,56164966,MATCHED,nan
ABOM-4042010,56164667,MATCHED,nan
ABOM-10356010,56003833,MATCHED,nan
ABOM-11813010,56003273,MATCHED,nan
ABOM-9026010,56002901,MATCHED,nan
ABOM-11537010,56002324,MATCHED,nan
ABOM-9121010,56003144,MATCHED,nan
ABOM-11475010,56008514,MATCHED,nan
ABOM-7455010,56002801,MATCHED,nan
ABOM-7962010,56002361,MATCHED,nan
ABOM-7900010,56002354,MATCHED,nan
ABOM-8795010,56003485,MATCHED,nan
ABOM-8964010,56002502,MATCHED,nan
ABOM-11686010,56002328,MATCHED,nan
ABOM-6946010,56008760,MATCHED,nan
ABOM-10418010,56000292,MATCHED,nan
ABOM-10814010,56003300,MATCHED,nan
ABOM-12049010,56007698,MATCHED,nan
ABOM-7641010,56008601,MATCHED,nan
ABOM-9325010,56002805,MATCHED,nan
ABOM-9388010,56002781,MATCHED,nan
ABOM-7095010,56007562,MATCHED,nan
ABOM-11624010,56002937,MATCHED,nan
ABOM-5651010,56062926,MATCHED,nan
ABOM-8626010,56003596,MATCHED,nan
ABOM-8849010,56003583,MATCHED,nan
ABOM-9556010,56000297,MATCHED,nan
ABOM-5561010,56063999,MATCHED,nan
ABOM-8564010,56002373,MATCHED,nan
ABOM-9449010,56003205,MATCHED,nan
ABOM-11748010,56002247,MATCHED,nan
ABOM-15635010,56003608,MATCHED,nan
ABOM-17483010,56011928,MATCHED,nan
ABOM-16925010,56010689,MATCHED,nan
ABOM-15884010,56010227,MATCHED,nan
ABOM-16340010,56010551,MATCHED,nan
ABOM-15822010,56009239,MATCHED,nan
ABOM-16862010,56021032,MATCHED,nan
ABOM-15984010,56002217,MATCHED,nan
ABOM-16682010,56007761,MATCHED,nan
ABOM-15715010,56009596,MATCHED,nan
ABOM-15777010,56008753,MATCHED,nan
ABOM-35964010,56105957,MATCHED,nan
ABOM-38606010,56101474,MATCHED,nan
ABOM-39801010,56081589,MATCHED,nan
ABOM-40223010,56104856,MATCHED,nan
ABOM-34808010,56087527,MATCHED,nan
ABOM-35525010,56106218,MATCHED,nan
ABOM-36090010,56114994,MATCHED,nan
ABOM-36585010,56114970,MATCHED,nan
ABOM-36758010,56109409,MATCHED,nan
ABOM-37913010,,MATCHED,nan
ABOM-38696010,56101481,MATCHED,nan
ABOM-38921010,56105419,MATCHED,nan
ABOM-35273010,56114386,MATCHED,nan
ABOM-36819010,,NO_CANDIDATES,nan
ABOM-39163010,56107085,MATCHED,nan
ABOM-40097010,56107093,MATCHED,nan
ABOM-40419010,56104641,MATCHED,nan
ABOM-34700010,56109647,MATCHED,nan
ABOM-34745010,56092445,MATCHED,nan
ABOM-35820010,56106583,MATCHED,nan
ABOM-37044010,56107312,MATCHED,nan
ABOM-37456010,56107809,MATCHED,nan
ABOM-37644010,56105023,MATCHED,nan
ABOM-38840010,56081587,MATCHED,nan
ABOM-34637010,56092315,MATCHED,nan
ABOM-35112010,56109466,MATCHED,nan
ABOM-35192010,56105325,MATCHED,nan
ABOM-36954010,,MATCHED,nan
ABOM-37089010,56103524,MATCHED,nan
ABOM-38086010,56101453,MATCHED,nan
ABOM-35641010,56108720,MATCHED,nan
ABOM-36459010,56114906,MATCHED,nan
ABOM-36909010,,MATCHED,nan
ABOM-41187010,56016854,MATCHED,nan
ABOM-44319010,56000156,MATCHED,nan
ABOM-42921010,56017603,MATCHED,nan
ABOM-44381010,56000694,MATCHED,nan
ABOM-43281010,56007490,MATCHED,nan
ABOM-44097010,56003206,MATCHED,nan
ABOM-41616010,56029119,MATCHED,nan
ABOM-41697010,56033309,MATCHED,nan
ABOM-40866010,56101534,MATCHED,nan
ABOM-41001010,56101529,MATCHED,nan
ABOM-41124010,56023677,MATCHED,nan
ABOM-42502010,56017059,MATCHED,nan
ABOM-42769010,56019755,MATCHED,nan
ABOM-43344010,56007507,MATCHED,nan
ABOM-10046010,56001483,MATCHED,nan
ABOM-7686010,56002819,MATCHED,nan
ABOM-14838010,56043589,MATCHED,nan
ABOM-15178010,56045395,MATCHED,nan
